userId,movieId,rating,timestamp
605,345,3.0,980174525
585,2019,5.0,975363792
339,858,3.0,1446663199
294,898,4.0,1106701536
165,198,3.0,1111479127
652,2502,4.0,1439584052
195,2134,2.0,976289485
195,1951,4.0,978700625
671,1247,4.0,1063500804
119,1678,3.0,913117813
637,849,4.0,1231346495
29,778,5.0,1313927169
214,1965,4.0,978417983
544,1090,4.5,1435787247
391,17,4.0,891533092
385,342,3.0,836679671
243,1587,4.0,1094221355
214,527,5.0,978381970
30,3114,5.0,948069950
533,1271,3.0,965317961
90,260,4.0,875516370
15,920,3.5,1093070090
475,2355,3.5,1446908635
461,1089,4.5,1091049663
510,281,3.0,944348485
17,858,5.0,1127469000
491,588,3.0,940797129
608,296,5.0,939361579
655,1645,4.5,1470071840
187,1734,4.0,1230360984
23,1089,3.5,1148671525
646,1689,5.0,953451027
103,2959,5.0,1117403605
313,3176,3.0,1101033050
295,153,3.0,1100132122
651,1250,4.0,945030304
539,318,4.0,956159456
577,457,4.5,1111475122
529,509,3.0,959965564
568,457,5.0,835002326
195,2791,4.0,976288515
57,1961,5.0,907764389
518,275,3.0,945365229
452,800,4.0,1133735839
23,4011,4.5,1149868172
605,2454,3.0,980177494
505,4995,3.5,1340406603
457,1594,3.5,1471409469
558,615,4.0,965485844
547,7010,4.0,1071595964
438,1089,4.5,1472550997
119,1252,4.0,913058346
358,378,2.0,957479653
152,6,4.0,1335948353
215,608,4.0,860559733
392,2926,4.0,1226176984
243,364,3.5,1094223532
580,1965,4.0,1167163330
68,527,3.5,1194741627
573,1907,4.0,946616472
409,308,5.0,828213115
667,11,3.0,847271401
86,595,3.0,848161267
160,1955,5.0,974258996
210,628,4.0,1070591378
384,172,2.0,1153936899
93,457,4.0,1304991813
494,1089,4.0,1342747845
17,185,3.0,1127469509
514,415,1.0,854116476
311,14,3.0,898007870
423,380,2.5,1354570781
23,1945,4.5,1148672322
625,4995,5.0,1452828156
465,17,5.0,1170653276
376,3980,3.0,1005529235
380,2616,2.0,979503268
514,1389,2.0,853894850
641,116,5.0,835844561
547,7300,4.5,1199390790
177,150,5.0,907380653
257,2300,4.0,1338009696
246,2617,3.0,956565591
311,2617,2.5,1076969269
454,1089,5.0,1463382590
441,260,5.0,1078145785
239,1894,4.0,991862715
436,334,4.0,941458348
516,186,3.0,844687300
358,2020,4.0,957479160
659,85,3.0,843673922
472,6620,4.0,1156728234
171,2395,5.0,950556889
564,502,1.0,974839652
119,2502,4.0,972097622
564,1259,5.0,974712223
509,1246,4.0,940015074
165,586,4.5,1111482718
514,1374,4.0,853895624
384,3635,3.5,1153501095
388,363,4.0,946524933
24,780,4.0,849282720
468,780,2.0,1296195532
56,953,4.0,1467005515
588,593,5.0,842298082
378,56715,4.0,1443295224
481,8873,4.5,1437003553
575,1555,4.0,1012598916
346,110,2.0,1044651821
544,1391,5.0,1442495599
547,4024,3.0,1053768465
327,4643,3.0,1225364008
195,235,4.0,976288515
162,6,3.0,852791965
518,1907,5.0,945369169
293,1923,3.5,1064615950
509,597,2.0,946276565
608,59,3.0,958824728
120,1923,4.0,1125350510
148,934,3.5,1059603845
624,1954,4.0,1019124244
439,196,3.0,1041114546
15,593,5.0,997938500
254,260,4.0,845157828
262,2144,5.0,1433900113
471,788,4.0,1239744794
64,296,5.0,843159644
306,593,4.0,939720907
242,923,5.0,956688410
564,801,4.0,974837450
562,1092,4.0,1167429422
34,923,5.0,973748034
316,8874,5.0,1460823148
435,924,4.0,891508361
4,2100,5.0,949896114
15,803,4.5,1054450008
487,110,5.0,832836352
30,1394,5.0,945114495
160,1213,3.0,974256205
580,802,2.0,1155485029
548,161,3.0,857405981
505,923,3.5,1340405249
150,1645,4.0,1113907448
411,527,5.0,944931010
232,1949,5.0,955092541
564,914,3.0,974713988
525,4911,3.0,1024929419
564,1406,4.0,974840609
346,2005,4.0,1044652107
555,497,3.0,842283909
487,296,4.0,832836228
303,593,4.0,1299439952
665,4011,2.0,995232302
293,2291,5.0,1064615782
509,147,3.0,939343145
426,173,2.0,1310374525
671,1266,4.0,1065149270
421,593,3.0,835170100
468,1968,3.0,1296195899
313,588,4.5,1101033165
169,8961,4.5,1234228586
41,332,4.0,1093887890
363,2565,4.0,942345331
475,592,4.0,1447329513
396,455,3.0,834998968
254,231,2.0,845157247
330,246,5.0,948577543
5,2023,1.5,1163373188
239,2469,4.0,991860952
388,671,4.0,946523566
292,1059,5.0,1140149266
41,780,4.0,1093889923
254,178,5.0,845158021
198,2064,5.0,1068822263
548,802,3.0,857405542
313,215,3.5,1101034071
330,1950,4.0,948574412
285,586,1.0,965088014
182,454,4.0,845743854
388,1587,4.0,946520947
626,2395,2.0,974769544
212,2687,4.0,1218401612
564,1049,3.0,974716189
472,2360,3.0,974244935
149,4011,4.0,1436922388
509,2028,3.0,939340016
470,965,3.0,1233101085
185,2253,5.0,1003523930
537,1441,3.0,879502878
78,4995,4.5,1274051748
559,780,4.0,883675744
416,246,5.0,841447474
303,62,3.5,1299489556
647,319,5.0,947292853
461,105,2.5,1091959001
647,260,5.0,947292545
418,1580,4.0,1132178344
130,3087,3.5,1139003233
2,17,5.0,835355681
292,231,3.0,1161557985
30,1947,4.0,945123854
547,496,3.0,974778561
351,912,5.0,975637211
406,923,3.5,1447952471
407,334,5.0,962647453
564,118,4.0,974838315
389,19,1.0,829492315
202,4566,2.0,1046144283
77,586,1.5,1183920099
284,12,1.0,853879034
15,922,1.0,1040205624
461,303,4.0,1090908773
564,220,2.0,974709519
607,1266,3.5,1148587540
213,172,2.5,1462644086
547,2043,3.5,1199574304
509,2155,4.0,939329795
463,4543,3.0,1051711851
97,1580,2.5,1460342451
244,1374,4.0,1448175350
562,1246,4.5,1167429075
228,260,5.0,1449332254
83,1394,5.0,1156206678
373,2750,4.0,939036793
537,318,5.0,879502851
243,551,4.5,1094224162
514,1268,3.0,853896216
591,1250,3.5,1112415541
292,4886,4.5,1140049518
125,539,4.0,1269733830
564,3176,2.0,974842216
480,1213,5.0,1272668612
633,277,3.0,848518496
521,1645,4.0,1370072091
509,2108,3.0,939329728
313,2080,4.0,1124136253
232,3035,4.0,955085839
165,196,2.0,1111981642
602,180,3.0,842358887
472,4970,4.0,939691973
640,140,3.0,860951277
213,293,3.0,1462637525
19,215,3.0,855191324
311,1727,3.0,898007806
295,293,4.5,1112543769
390,303,3.0,867076328
239,1485,3.0,991860754
564,786,4.0,974839143
247,673,3.0,953362342
285,3175,3.0,965088183
77,592,3.5,1163006012
311,788,2.0,897491119
25,842,2.0,859625824
596,380,3.0,1138729340
95,19,4.0,1016317584
624,2108,3.0,1019127430
362,858,4.0,1217952550
294,4141,3.5,1055278396
423,223,4.0,1354044791
480,480,5.0,1272668408
431,1639,5.0,1140455096
580,1544,2.5,1165900672
428,2959,5.0,1304136560
311,1265,3.5,1062014571
18,707,3.0,856007279
189,2668,1.0,968095164
514,1381,1.0,853896756
348,982,1.0,960838890
380,8984,2.0,1151511075
500,497,3.5,1228963385
658,527,5.0,941488384
154,18,5.0,850917480
607,1246,3.0,1113405909
253,2321,4.0,1215831838
534,1552,4.0,973376107
620,919,4.0,1455533087
457,18,2.5,1471388600
605,238,4.0,980177182
195,3088,5.0,976288883
480,7445,4.0,1339284807
232,2291,4.0,955093061
408,590,2.0,933113494
154,1391,4.0,850917706
388,4226,5.0,991606993
262,551,3.0,1433944378
177,1722,5.0,907380820
264,527,5.0,995664707
342,953,5.0,945123680
424,1573,3.5,1088826807
97,1262,4.0,1460343849
576,1900,4.0,1005450919
102,949,4.0,956598942
574,296,5.0,1232811585
85,288,4.0,837512114
220,17,5.0,982598447
164,293,4.0,1178928230
607,466,3.5,1118247589
639,381,3.0,832451093
222,229,4.0,960919368
318,778,4.0,862902803
271,2657,4.0,1107785072
412,1544,2.0,993090729
102,1939,5.0,957980677
564,2721,5.0,974844147
496,597,4.0,834060738
509,1272,4.0,1093295870
564,2110,4.0,974714618
194,527,5.0,848098383
396,648,5.0,834998842
577,342,4.0,1111474751
181,2640,4.0,1154542691
94,2028,5.0,1291779546
94,1246,3.0,1291780969
547,4978,2.5,1053173385
388,39414,4.0,1131422901
390,818,2.0,867073940
671,1090,4.0,1064891507
212,1949,2.5,1218399598
149,586,3.0,1436923262
86,269,4.0,848161199
575,4787,4.0,1012605106
353,818,1.5,1143549055
451,2124,3.0,979330046
340,296,3.5,1410374199
195,900,3.0,978700555
587,3019,4.0,1112315627
350,1073,2.0,1003179997
